(136403, 13094)
(100695, 13113)
(129008, 13113)
(174917, 13113)
(92576, 13268)
(94097, 13268)
(117245, 13268)
(92577, 13269)
(92578, 13270)
(92579, 13271)
(92580, 13272)
(66859, 13387)
(12116, 13388)
(66545, 13388)
(66860, 13388)
(12117, 13389)
(66861, 13389)
(12118, 13390)
(12119, 13391)
(42311, 13485)
(103686, 13485)
(187616, 13485)
(89548, 13663)
(131882, 13663)
(14038, 13820)
(14037, 13821)
(149303, 13821)
(185731, 13821)
(14036, 13822)
(14035, 13823)
(136996, 14089)
(67046, 14281)
(131006, 14281)
(131860, 14281)
(131007, 14282)
(131008, 14283)
(39482, 14501)
(39481, 14502)
(39480, 14503)
(74706, 14503)
(100929, 14503)
(74705, 14504)
(29409, 15017)
(29694, 15017)
(93132, 15017)
(195973, 15111)
(195974, 15112)
(110536, 15174)
(10750, 15175)
(42069, 15175)
(110535, 15175)
(9858, 15211)
(21588, 15211)
(155040, 15211)
(9859, 15212)
(155041, 15212)
(100928, 15461)
(39480, 15462)
(74706, 15462)
(100929, 15462)
(100930, 15463)
(162971, 15729)
(162970, 15730)
(162969, 15731)
(162968, 15732)
(29409, 16913)
(29694, 16913)
(93132, 16913)
(196821, 17392)
(196820, 17393)
(196819, 17394)
(196818, 17395)
(150152, 17396)
(196817, 17396)
(29409, 17436)
(29694, 17436)
(93132, 17436)
(170329, 17561)
(115264, 17562)
(170328, 17562)
(25916, 18081)
(136493, 18081)
(169593, 18081)
(124745, 18219)
(106240, 18220)
(121683, 18220)
(124746, 18220)
(121684, 18221)
(124744, 18580)
(124745, 18581)
(106240, 18582)
(121683, 18582)
(124746, 18582)
(110533, 18926)
(42068, 18927)
(110534, 18927)
(10750, 18928)
(42069, 18928)
(110535, 18928)
(31396, 20371)
(144753, 20371)
(53270, 20461)
(53271, 20462)
(68808, 20462)
(53272, 20463)
(58636, 20463)
(68809, 20463)
(53273, 20464)
(68810, 20464)
(68811, 20465)
(149304, 20627)
(14037, 20628)
(149303, 20628)
(185731, 20628)
(185730, 20629)
(50, 21020)
(153115, 21020)
(49, 21021)
(153114, 21021)
(153113, 21022)
